
✅ hippocampus_389.nii.gz: img max=1.0000, lbl sum=4131
✅ hippocampus_177.nii.gz: img max=1.0000, lbl sum=4132
✅ hippocampus_260.nii.gz: img max=1.0000, lbl sum=4815
✅ hippocampus_305.nii.gz: img max=1.0000, lbl sum=4409
✅ hippocampus_042.nii.gz: img max=1.0000, lbl sum=5823
✅ hippocampus_282.nii.gz: img max=1.0000, lbl sum=3699
✅ hippocampus_141.nii.gz: img max=1.0000, lbl sum=4193
✅ hippocampus_358.nii.gz: img max=1.0000, lbl sum=4255
✅ hippocampus_383.nii.gz: img max=1.0000, lbl sum=5063
✅ hippocampus_242.nii.gz: img max=1.0000, lbl sum=6289
✅ hippocampus_075.nii.gz: img max=1.0000, lbl sum=4874
✅ hippocampus_090.nii.gz: img max=1.0000, lbl sum=5958
✅ hippocampus_204.nii.gz: img max=1.0000, lbl sum=4104
✅ hippocampus_311.nii.gz: img max=1.0000, lbl sum=4837
✅ hippocampus_095.nii.gz: img max=1.0000, lbl sum=5379
✅ hippocampus_092.nii.gz: img max=1.0000, lbl sum=4796
✅ hippocampus_366.nii.gz: img max=1.0000, lbl sum=5476
✅ hippocampus_108.nii.gz: img max=1.0000, lbl sum=5821
✅ hippocampus_265.nii.gz: img max=1.0000, lbl sum=4763
✅ hippocampus_034.nii.gz: img max=1.0000, lbl sum=4920
✅ hippocampus_252.nii.gz: img max=1.0000, lbl sum=5090
✅ hippocampus_011.nii.gz: img max=1.0000, lbl sum=5000
✅ hippocampus_292.nii.gz: img max=1.0000, lbl sum=5047
✅ hippocampus_376.nii.gz: img max=1.0000, lbl sum=5537
✅ hippocampus_332.nii.gz: img max=1.0000, lbl sum=4851
✅ hippocampus_124.nii.gz: img max=1.0000, lbl sum=4668
✅ hippocampus_308.nii.gz: img max=1.0000, lbl sum=5297
✅ hippocampus_094.nii.gz: img max=1.0000, lbl sum=5696
✅ hippocampus_077.nii.gz: img max=1.0000, lbl sum=5452
✅ hippocampus_017.nii.gz: img max=1.0000, lbl sum=4821
✅ hippocampus_106.nii.gz: img max=1.0000, lbl sum=4472
✅ hippocampus_001.nii.gz: img max=1.0000, lbl sum=4572
✅ hippocampus_236.nii.gz: img max=1.0000, lbl sum=4583
✅ hippocampus_170.nii.gz: img max=1.0000, lbl sum=4429
✅ hippocampus_319.nii.gz: img max=1.0000, lbl sum=3464
✅ hippocampus_154.nii.gz: img max=1.0000, lbl sum=4915
✅ hippocampus_142.nii.gz: img max=1.0000, lbl sum=4072
✅ hippocampus_188.nii.gz: img max=1.0000, lbl sum=5302
✅ hippocampus_253.nii.gz: img max=1.0000, lbl sum=5303
✅ hippocampus_304.nii.gz: img max=1.0000, lbl sum=5056
✅ hippocampus_145.nii.gz: img max=1.0000, lbl sum=4998
✅ hippocampus_190.nii.gz: img max=1.0000, lbl sum=4953
✅ hippocampus_126.nii.gz: img max=1.0000, lbl sum=4640
✅ hippocampus_299.nii.gz: img max=1.0000, lbl sum=4887
✅ hippocampus_036.nii.gz: img max=1.0000, lbl sum=5169
✅ hippocampus_220.nii.gz: img max=1.0000, lbl sum=4010
✅ hippocampus_316.nii.gz: img max=1.0000, lbl sum=4610
✅ hippocampus_215.nii.gz: img max=1.0000, lbl sum=5066
✅ hippocampus_169.nii.gz: img max=1.0000, lbl sum=4355
✅ hippocampus_041.nii.gz: img max=1.0000, lbl sum=5749
✅ hippocampus_259.nii.gz: img max=1.0000, lbl sum=4502
✅ hippocampus_393.nii.gz: img max=1.0000, lbl sum=5500
✅ hippocampus_227.nii.gz: img max=1.0000, lbl sum=5093
✅ hippocampus_361.nii.gz: img max=1.0000, lbl sum=4477
✅ hippocampus_087.nii.gz: img max=1.0000, lbl sum=5481
✅ hippocampus_269.nii.gz: img max=1.0000, lbl sum=5153
✅ hippocampus_189.nii.gz: img max=1.0000, lbl sum=5129
✅ hippocampus_341.nii.gz: img max=1.0000, lbl sum=3845
✅ hippocampus_243.nii.gz: img max=1.0000, lbl sum=4491
✅ hippocampus_212.nii.gz: img max=1.0000, lbl sum=5418
✅ hippocampus_098.nii.gz: img max=1.0000, lbl sum=4265
✅ hippocampus_225.nii.gz: img max=1.0000, lbl sum=3831
✅ hippocampus_322.nii.gz: img max=1.0000, lbl sum=4921
✅ hippocampus_351.nii.gz: img max=1.0000, lbl sum=5626
✅ hippocampus_158.nii.gz: img max=1.0000, lbl sum=4950
✅ hippocampus_203.nii.gz: img max=1.0000, lbl sum=4128
✅ hippocampus_045.nii.gz: img max=1.0000, lbl sum=4490
✅ hippocampus_288.nii.gz: img max=1.0000, lbl sum=5840
✅ hippocampus_107.nii.gz: img max=1.0000, lbl sum=5981
✅ hippocampus_302.nii.gz: img max=1.0000, lbl sum=5503
✅ hippocampus_310.nii.gz: img max=1.0000, lbl sum=5723
✅ hippocampus_280.nii.gz: img max=1.0000, lbl sum=3859
✅ hippocampus_329.nii.gz: img max=1.0000, lbl sum=5413
✅ hippocampus_007.nii.gz: img max=1.0000, lbl sum=4902
✅ hippocampus_096.nii.gz: img max=1.0000, lbl sum=4790
✅ hippocampus_109.nii.gz: img max=1.0000, lbl sum=4849
✅ hippocampus_222.nii.gz: img max=1.0000, lbl sum=3677
✅ hippocampus_003.nii.gz: img max=1.0000, lbl sum=5156
✅ hippocampus_026.nii.gz: img max=1.0000, lbl sum=5393
✅ hippocampus_219.nii.gz: img max=1.0000, lbl sum=4122
✅ hippocampus_337.nii.gz: img max=1.0000, lbl sum=4955
✅ hippocampus_067.nii.gz: img max=1.0000, lbl sum=4101
✅ hippocampus_143.nii.gz: img max=1.0000, lbl sum=3601
✅ hippocampus_057.nii.gz: img max=1.0000, lbl sum=4156
✅ hippocampus_380.nii.gz: img max=1.0000, lbl sum=5140
✅ hippocampus_238.nii.gz: img max=1.0000, lbl sum=5672
✅ hippocampus_381.nii.gz: img max=1.0000, lbl sum=4754
✅ hippocampus_353.nii.gz: img max=1.0000, lbl sum=4095
✅ hippocampus_130.nii.gz: img max=1.0000, lbl sum=4865
✅ hippocampus_317.nii.gz: img max=1.0000, lbl sum=4914
✅ hippocampus_056.nii.gz: img max=1.0000, lbl sum=5501
✅ hippocampus_250.nii.gz: img max=1.0000, lbl sum=4963
✅ hippocampus_354.nii.gz: img max=1.0000, lbl sum=4295
✅ hippocampus_223.nii.gz: img max=1.0000, lbl sum=5427
✅ hippocampus_394.nii.gz: img max=1.0000, lbl sum=5641
✅ hippocampus_006.nii.gz: img max=1.0000, lbl sum=6212
Number of files in train, validation and test set are :   208 26 26
SPLIT STRUCTURE:
train: type=<class 'numpy.ndarray'>, len=208
val: type=<class 'list'>, len=26
test: type=<class 'list'>, len=26
Experiment started.
Training epoch 0...
/opt/conda/conda-bld/pytorch_1587428094786/work/torch/csrc/utils/tensor_numpy.cpp:141: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program.

Epoch: 0 Train loss: 1.1247119903564453, 0.1% complete
..........
Epoch: 0 Train loss: 1.1147054433822632, 1.2% complete
..........
Epoch: 0 Train loss: 1.1053905487060547, 2.3% complete
..........
Epoch: 0 Train loss: 1.093398928642273, 3.4% complete
..........
Epoch: 0 Train loss: 1.0744258165359497, 4.4% complete
..........
Epoch: 0 Train loss: 1.040177822113037, 5.5% complete
..........
Epoch: 0 Train loss: 0.9513058066368103, 6.6% complete
..........
Epoch: 0 Train loss: 0.6955277919769287, 7.7% complete
..........
Epoch: 0 Train loss: 0.28967347741127014, 8.8% complete
..........
Epoch: 0 Train loss: 0.02272023633122444, 9.9% complete
..........
Epoch: 0 Train loss: 0.03928971663117409, 11.0% complete
..........
Epoch: 0 Train loss: 0.03995702043175697, 12.0% complete
..........
Epoch: 0 Train loss: 0.010518241673707962, 13.1% complete
..........
Epoch: 0 Train loss: 0.009552601724863052, 14.2% complete
..........
Epoch: 0 Train loss: 0.028643544763326645, 15.3% complete
..........
Epoch: 0 Train loss: 0.007774976082146168, 16.4% complete
..........
Epoch: 0 Train loss: 0.005774462595582008, 17.5% complete
..........
Epoch: 0 Train loss: 0.004727585706859827, 18.5% complete
..........
Epoch: 0 Train loss: 0.03492221236228943, 19.6% complete
..........
Epoch: 0 Train loss: 0.012036312371492386, 20.7% complete
..........
Epoch: 0 Train loss: 0.0042465259321033955, 21.8% complete
..........
Epoch: 0 Train loss: 0.012963430024683475, 22.9% complete
..........
Epoch: 0 Train loss: 0.024668646976351738, 24.0% complete
..........
Epoch: 0 Train loss: 0.02094665728509426, 25.1% complete
..........
Epoch: 0 Train loss: 0.005276360549032688, 26.1% complete
..........
Epoch: 0 Train loss: 0.019116537645459175, 27.2% complete
..........
Epoch: 0 Train loss: 0.0035413361620157957, 28.3% complete
..........
Epoch: 0 Train loss: 0.003000472905114293, 29.4% complete
..........
Epoch: 0 Train loss: 0.002299755811691284, 30.5% complete
..........
Epoch: 0 Train loss: 0.02546602115035057, 31.6% complete
..........
Epoch: 0 Train loss: 0.028684653341770172, 32.6% complete
..........
Epoch: 0 Train loss: 0.015218500979244709, 33.7% complete
..........
Epoch: 0 Train loss: 0.016012992709875107, 34.8% complete
..........
Epoch: 0 Train loss: 0.01716420240700245, 35.9% complete
..........
Epoch: 0 Train loss: 0.0036605491768568754, 37.0% complete
..........
Epoch: 0 Train loss: 0.018839724361896515, 38.1% complete
..........
Epoch: 0 Train loss: 0.021928837522864342, 39.2% complete
..........
Epoch: 0 Train loss: 0.02174595557153225, 40.2% complete
..........
Epoch: 0 Train loss: 0.006655029021203518, 41.3% complete
..........
Epoch: 0 Train loss: 0.01912611909210682, 42.4% complete
..........
Epoch: 0 Train loss: 0.002963884500786662, 43.5% complete
..........
Epoch: 0 Train loss: 0.01707226037979126, 44.6% complete
..........
Epoch: 0 Train loss: 0.020559079945087433, 45.7% complete
..........
Epoch: 0 Train loss: 0.02654823660850525, 46.7% complete
..........
Epoch: 0 Train loss: 0.0025450335815548897, 47.8% complete
..........
Epoch: 0 Train loss: 0.015741243958473206, 48.9% complete
..........
Epoch: 0 Train loss: 0.0009042737074196339, 50.0% complete
..........
Epoch: 0 Train loss: 0.011001093313097954, 51.1% complete
..........
Epoch: 0 Train loss: 0.011330130510032177, 52.2% complete
..........
Epoch: 0 Train loss: 0.00065740937134251, 53.3% complete
..........
Epoch: 0 Train loss: 0.002444145968183875, 54.3% complete
..........
Epoch: 0 Train loss: 0.010882980190217495, 55.4% complete
..........
Epoch: 0 Train loss: 0.005721613764762878, 56.5% complete
..........
Epoch: 0 Train loss: 0.03589257970452309, 57.6% complete
..........
Epoch: 0 Train loss: 0.024563582614064217, 58.7% complete
..........
Epoch: 0 Train loss: 0.0014058052329346538, 59.8% complete
..........
Epoch: 0 Train loss: 0.0022098373156040907, 60.8% complete
..........
Epoch: 0 Train loss: 0.012178766541182995, 61.9% complete
..........
Epoch: 0 Train loss: 0.023069966584444046, 63.0% complete
..........
Epoch: 0 Train loss: 0.013481405563652515, 64.1% complete
..........
Epoch: 0 Train loss: 0.0009577659657225013, 65.2% complete
..........
Epoch: 0 Train loss: 0.0018191953422501683, 66.3% complete
..........
Epoch: 0 Train loss: 0.00011194792750757188, 67.4% complete
..........
Epoch: 0 Train loss: 0.018066398799419403, 68.4% complete
..........
Epoch: 0 Train loss: 0.0023418960627168417, 69.5% complete
..........
Epoch: 0 Train loss: 0.007933053188025951, 70.6% complete
..........
Epoch: 0 Train loss: 0.013405116274952888, 71.7% complete
..........
Epoch: 0 Train loss: 0.006299702916294336, 72.8% complete
..........
Epoch: 0 Train loss: 0.012841612100601196, 73.9% complete
..........
Epoch: 0 Train loss: 0.016113117337226868, 74.9% complete
..........
Epoch: 0 Train loss: 0.0009650547872297466, 76.0% complete
..........
Epoch: 0 Train loss: 0.0003333127242513001, 77.1% complete
..........
Epoch: 0 Train loss: 0.0092531843110919, 78.2% complete
..........
Epoch: 0 Train loss: 0.0037163293454796076, 79.3% complete
..........
Epoch: 0 Train loss: 0.005696856416761875, 80.4% complete
..........
Epoch: 0 Train loss: 0.0009741288959048688, 81.5% complete
..........
Epoch: 0 Train loss: 0.015247705392539501, 82.5% complete
..........
Epoch: 0 Train loss: 0.021624034270644188, 83.6% complete
..........
Epoch: 0 Train loss: 0.012072671204805374, 84.7% complete
..........
Epoch: 0 Train loss: 0.016711970791220665, 85.8% complete
..........
Epoch: 0 Train loss: 0.019182797521352768, 86.9% complete
..........
Epoch: 0 Train loss: 0.014958448708057404, 88.0% complete
..........
Epoch: 0 Train loss: 0.01804172433912754, 89.0% complete
..........
Epoch: 0 Train loss: 0.0001357598084723577, 90.1% complete
..........
Epoch: 0 Train loss: 0.014448828995227814, 91.2% complete
..........
Epoch: 0 Train loss: 0.00038311982643790543, 92.3% complete
..........
Epoch: 0 Train loss: 0.00020662715542130172, 93.4% complete
..........
Epoch: 0 Train loss: 0.002656115684658289, 94.5% complete
..........
Epoch: 0 Train loss: 0.000878460647072643, 95.6% complete
..........
Epoch: 0 Train loss: 0.008245503529906273, 96.6% complete
..........
Epoch: 0 Train loss: 9.335683716926724e-05, 97.7% complete
..........
Epoch: 0 Train loss: 0.021157611161470413, 98.8% complete
..........
Epoch: 0 Train loss: 0.013217201456427574, 99.9% complete
..
Training complete
Validating epoch 0...
Batch 0. Data shape torch.Size([8, 1, 64, 64]) Loss 0.003225940279662609
Batch 0 Loss 0.003225940279662609
target unique values: [0 1]
prediction softmax sample: [1. 0. 0.]
Batch 1. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0004604194255080074
Batch 1 Loss 0.0004604194255080074
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 2. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00018613194697536528
Batch 2 Loss 0.00018613194697536528
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 3. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00682710250839591
Batch 3 Loss 0.00682710250839591
target unique values: [0 1]
prediction softmax sample: [1. 0. 0.]
Batch 4. Data shape torch.Size([8, 1, 64, 64]) Loss 0.008527116850018501
Batch 4 Loss 0.008527116850018501
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 5. Data shape torch.Size([8, 1, 64, 64]) Loss 0.013357131741940975
Batch 5 Loss 0.013357131741940975
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 6. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00010188285523327067
Batch 6 Loss 0.00010188285523327067
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 7. Data shape torch.Size([8, 1, 64, 64]) Loss 0.013535285368561745
Batch 7 Loss 0.013535285368561745
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 8. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0016146308043971658
Batch 8 Loss 0.0016146308043971658
target unique values: [0 1]
prediction softmax sample: [1. 0. 0.]
Batch 9. Data shape torch.Size([8, 1, 64, 64]) Loss 0.002395232440903783
Batch 9 Loss 0.002395232440903783
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 10. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0016366533236578107
Batch 10 Loss 0.0016366533236578107
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 11. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0034733435604721308
Batch 11 Loss 0.0034733435604721308
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 12. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0007524421089328825
Batch 12 Loss 0.0007524421089328825
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 13. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0017774560255929828
Batch 13 Loss 0.0017774560255929828
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 14. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00035809155087918043
Batch 14 Loss 0.00035809155087918043
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 15. Data shape torch.Size([8, 1, 64, 64]) Loss 0.013847230933606625
Batch 15 Loss 0.013847230933606625
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 16. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0035095803905278444
Batch 16 Loss 0.0035095803905278444
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 17. Data shape torch.Size([8, 1, 64, 64]) Loss 0.016387294977903366
Batch 17 Loss 0.016387294977903366
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 18. Data shape torch.Size([8, 1, 64, 64]) Loss 0.008890358731150627
Batch 18 Loss 0.008890358731150627
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 19. Data shape torch.Size([8, 1, 64, 64]) Loss 0.010934928432106972
Batch 19 Loss 0.010934928432106972
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 20. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00737552298232913
Batch 20 Loss 0.00737552298232913
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 21. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0009635663009248674
Batch 21 Loss 0.0009635663009248674
target unique values: [0 1]
prediction softmax sample: [1. 0. 0.]
Batch 22. Data shape torch.Size([8, 1, 64, 64]) Loss 9.379256516695023e-05
Batch 22 Loss 9.379256516695023e-05
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 23. Data shape torch.Size([8, 1, 64, 64]) Loss 0.015364602208137512
Batch 23 Loss 0.015364602208137512
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 24. Data shape torch.Size([8, 1, 64, 64]) Loss 0.012967373244464397
Batch 24 Loss 0.012967373244464397
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 25. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0003288211883045733
Batch 25 Loss 0.0003288211883045733
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 26. Data shape torch.Size([8, 1, 64, 64]) Loss 0.011167126707732677
Batch 26 Loss 0.011167126707732677
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 27. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0010296209948137403
Batch 27 Loss 0.0010296209948137403
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 28. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0142715685069561
Batch 28 Loss 0.0142715685069561
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 29. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0062940833158791065
Batch 29 Loss 0.0062940833158791065
target unique values: [0 2]
prediction softmax sample: [1. 0. 0.]
Batch 30. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0023080341052263975
Batch 30 Loss 0.0023080341052263975
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 31. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0022948775440454483
Batch 31 Loss 0.0022948775440454483
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 32. Data shape torch.Size([8, 1, 64, 64]) Loss 0.005471235606819391
Batch 32 Loss 0.005471235606819391
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 33. Data shape torch.Size([8, 1, 64, 64]) Loss 0.015299774706363678
Batch 33 Loss 0.015299774706363678
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 34. Data shape torch.Size([8, 1, 64, 64]) Loss 0.006102646701037884
Batch 34 Loss 0.006102646701037884
target unique values: [0 1]
prediction softmax sample: [1. 0. 0.]
Batch 35. Data shape torch.Size([8, 1, 64, 64]) Loss 0.01157030463218689
Batch 35 Loss 0.01157030463218689
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 36. Data shape torch.Size([8, 1, 64, 64]) Loss 0.007159017026424408
Batch 36 Loss 0.007159017026424408
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 37. Data shape torch.Size([8, 1, 64, 64]) Loss 0.010605270974338055
Batch 37 Loss 0.010605270974338055
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
Batch 38. Data shape torch.Size([8, 1, 64, 64]) Loss 0.00020534217765089124
Batch 38 Loss 0.00020534217765089124
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 39. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0030021227430552244
Batch 39 Loss 0.0030021227430552244
target unique values: [0]
prediction softmax sample: [1. 0. 0.]
Batch 40. Data shape torch.Size([8, 1, 64, 64]) Loss 0.0147995725274086
Batch 40 Loss 0.0147995725274086
target unique values: [0 1 2]
prediction softmax sample: [1. 0. 0.]
